mz,scan,intensity
566.642811958,513,112
567.276346181,515,133
565.802417451,518,277
566.303564227,518,235
565.802417451,519,623
566.303564227,519,495
566.808703375,519,251
565.79865027,520,1161
566.303564227,520,778
566.337484429,520,120
566.804932846,520,232
566.820015038,520,162
565.271368767,521,157
565.802417451,521,1935
566.156588425,521,128
566.247032815,521,106
566.299795379,521,931
566.797391825,521,314
566.808703375,521,271
567.306523307,521,190
567.819657242,521,107
565.802417451,522,2163
565.892833548,522,140
566.303564227,522,1885
566.329946519,522,150
566.801162329,522,527
567.057586026,522,131
567.29897895,522,214
567.804561757,522,106
565.79865027,523,3132
566.08499174,523,133
566.303564227,523,2408
566.808703375,523,817
567.310295504,523,140
567.808335609,523,108
567.823431145,523,146
568.29904323,523,119
565.802417451,524,3657
566.088759873,524,116
566.303564227,524,2846
566.804932846,524,1002
566.83886806,524,176
567.302751122,524,269
568.797517062,524,110
565.696941135,525,152
565.772280357,525,104
565.802417451,525,4218
566.303564227,525,2488
566.804932846,525,636
567.310295504,525,270
567.808335609,525,122
565.79865027,526,4218
566.299795379,526,2802
566.801162329,526,703
566.982161272,526,110
567.310295504,526,393
567.808335609,526,104
569.30754587,526,102
565.802417451,527,5055
566.00209597,527,107
566.303564227,527,4218
566.544796624,527,104
566.654121965,527,116
566.801162329,527,1393
567.306523307,527,699
567.804561757,527,193
565.248776481,528,122
565.806184644,528,6312
566.303564227,528,3657
566.507100676,528,152
566.533487707,528,108
566.804932846,528,1156
567.306523307,528,126
568.29904323,528,114
568.793739924,528,158
565.802417451,529,8187
566.299795379,529,2806
566.412866292,529,108
566.804932846,529,952
567.295206791,529,380
567.317839936,529,101
567.3517905,529,112
567.815883352,529,105
567.82720506,529,123
568.310369754,529,109
565.802417451,530,4218
566.009631698,530,130
566.299795379,530,3324
566.808703375,530,974
567.830978988,530,145
565.31278913,531,101
565.802417451,531,6312
566.043543096,531,101
566.262107583,531,118
566.299795379,531,3324
566.801162329,531,1325
566.831326813,531,231
567.29897895,531,304
567.325384418,531,165
567.804561757,531,131
568.336798749,531,145
568.820180156,531,189
565.802417451,532,6312
565.998328125,532,189
566.198041207,532,113
566.299795379,532,3132
566.808703375,532,1071
567.302751122,532,278
567.804561757,532,158
568.812625741,532,102
565.79865027,533,4218
566.296026543,533,2590
566.797391825,533,1094
567.295206791,533,416
569.281094313,533,111
565.79865027,534,3657
566.303564227,534,2554
566.341253403,534,149
566.808703375,534,382
566.820015038,534,273
567.306523307,534,360
567.766823921,534,113
567.804561757,534,177
565.278899629,535,151
565.802417451,535,4218
566.303564227,535,1634
566.801162329,535,755
567.310295504,535,159
567.325384418,535,135
567.774371388,535,222
568.291492277,535,112
568.816402942,535,142
565.79865027,536,3657
566.299795379,536,1242
566.804932846,536,942
567.302751122,536,290
567.325384418,536,235
567.698898977,536,100
568.835289136,536,101
565.802417451,537,3657
566.299795379,537,1365
566.378943833,537,102
566.801162329,537,607
566.827556209,537,131
567.280118278,537,119
567.306523307,537,258
568.272615113,537,116
569.26220072,537,116
565.290196016,538,106
565.79865027,538,2118
565.877763697,538,119
566.164125182,538,169
566.303564227,538,915
566.322408659,538,405
566.804932846,538,748
566.831326813,538,207
565.324085856,539,130
565.79865027,539,2363
566.258338872,539,106
566.299795379,539,777
566.801162329,539,461
566.827556209,539,145
568.268839718,539,115
568.321696391,539,109
568.831511872,539,124
569.284873069,539,141
565.802417451,540,1504
565.825020798,540,570
566.303564227,540,827
566.801162329,540,212
567.310295504,540,121
569.454930078,540,128
565.644206663,541,178
565.79865027,541,1311
566.299795379,541,839
566.439251129,541,173
566.804932846,541,160
567.310295504,541,155
567.340473532,541,138
565.79865027,542,763
566.299795379,542,485
566.778539493,542,108
566.808703375,542,230
568.344350003,542,106
565.316554693,543,103
565.79865027,543,888
566.307333089,543,443
566.812473917,543,161
567.302751122,543,215
569.806461705,543,142
565.802417451,544,503
566.303564227,544,451
566.797391825,544,220
567.310295504,544,135
569.281094313,544,116
569.296209413,544,151
569.798900744,544,199
565.80995185,545,357
566.299795379,545,208
566.812473917,545,226
567.306523307,545,184
568.272615113,545,126
569.296209413,545,130
569.798900744,545,125
565.301492517,546,122
565.79865027,546,322
565.825020798,546,256
566.299795379,546,266
566.797391825,546,122
567.32161217,546,158
567.340473532,546,119
567.804561757,546,175
