,mz,scan,intensity
31361,566.642811958,513,112
31638,567.276346181,515,133
32020,565.802417451,518,277
32021,566.303564227,518,235
32137,565.802417451,519,623
32138,566.303564227,519,495
32139,566.808703375,519,251
32253,565.79865027,520,1161
32254,566.303564227,520,778
32255,566.337484429,520,120
32256,566.804932846,520,232
32257,566.820015038,520,162
32375,565.271368767,521,157
32376,565.802417451,521,1935
32377,566.156588425,521,128
32378,566.247032815,521,106
32379,566.299795379,521,931
32380,566.797391825,521,314
32381,566.808703375,521,271
32382,567.306523307,521,190
32383,567.819657242,521,107
32507,565.802417451,522,2163
32508,565.892833548,522,140
32509,566.303564227,522,1885
32510,566.329946519,522,150
32511,566.801162329,522,527
32512,567.057586026,522,131
32513,567.29897895,522,214
32514,567.804561757,522,106
32607,565.79865027,523,3132
32608,566.08499174,523,133
32609,566.303564227,523,2408
32610,566.808703375,523,817
32611,567.310295504,523,140
32612,567.808335609,523,108
32613,567.823431145,523,146
32614,568.29904323,523,119
32736,565.802417451,524,3657
32737,566.088759873,524,116
32738,566.303564227,524,2846
32739,566.804932846,524,1002
32740,566.83886806,524,176
32741,567.302751122,524,269
32742,568.797517062,524,110
32838,565.696941135,525,152
32839,565.772280357,525,104
32840,565.802417451,525,4218
32841,566.303564227,525,2488
32842,566.804932846,525,636
32843,567.310295504,525,270
32844,567.808335609,525,122
32939,565.79865027,526,4218
32940,566.299795379,526,2802
32941,566.801162329,526,703
32942,566.982161272,526,110
32943,567.310295504,526,393
32944,567.808335609,526,104
32945,569.30754587,526,102
33046,565.802417451,527,5055
33047,566.00209597,527,107
33048,566.303564227,527,4218
33049,566.544796624,527,104
33050,566.654121965,527,116
33051,566.801162329,527,1393
33052,567.306523307,527,699
33053,567.804561757,527,193
33167,565.248776481,528,122
33168,565.806184644,528,6312
33169,566.303564227,528,3657
33170,566.507100676,528,152
33171,566.533487707,528,108
33172,566.804932846,528,1156
33173,567.306523307,528,126
33174,568.29904323,528,114
33175,568.793739924,528,158
33276,565.802417451,529,8187
33277,566.299795379,529,2806
33278,566.412866292,529,108
33279,566.804932846,529,952
33280,567.295206791,529,380
33281,567.317839936,529,101
33282,567.3517905,529,112
33283,567.815883352,529,105
33284,567.82720506,529,123
33285,568.310369754,529,109
33391,565.802417451,530,4218
33392,566.009631698,530,130
33393,566.299795379,530,3324
33394,566.808703375,530,974
33395,567.830978988,530,145
33491,565.31278913,531,101
33492,565.802417451,531,6312
33493,566.043543096,531,101
33494,566.262107583,531,118
33495,566.299795379,531,3324
33496,566.801162329,531,1325
33497,566.831326813,531,231
33498,567.29897895,531,304
33499,567.325384418,531,165
33500,567.804561757,531,131
33501,568.336798749,531,145
33502,568.820180156,531,189
33600,565.802417451,532,6312
33601,565.998328125,532,189
33602,566.198041207,532,113
33603,566.299795379,532,3132
33604,566.808703375,532,1071
33605,567.302751122,532,278
33606,567.804561757,532,158
33607,568.812625741,532,102
33711,565.79865027,533,4218
33712,566.296026543,533,2590
33713,566.797391825,533,1094
33714,567.295206791,533,416
33715,569.281094313,533,111
33810,565.79865027,534,3657
33811,566.303564227,534,2554
33812,566.341253403,534,149
33813,566.808703375,534,382
33814,566.820015038,534,273
33815,567.306523307,534,360
33816,567.766823921,534,113
33817,567.804561757,534,177
33923,565.278899629,535,151
33924,565.802417451,535,4218
33925,566.303564227,535,1634
33926,566.801162329,535,755
33927,567.310295504,535,159
33928,567.325384418,535,135
33929,567.774371388,535,222
33930,568.291492277,535,112
33931,568.816402942,535,142
34026,565.79865027,536,3657
34027,566.299795379,536,1242
34028,566.804932846,536,942
34029,567.302751122,536,290
34030,567.325384418,536,235
34031,567.698898977,536,100
34032,568.835289136,536,101
34144,565.802417451,537,3657
34145,566.299795379,537,1365
34146,566.378943833,537,102
34147,566.801162329,537,607
34148,566.827556209,537,131
34149,567.280118278,537,119
34150,567.306523307,537,258
34151,568.272615113,537,116
34152,569.26220072,537,116
34243,565.290196016,538,106
34244,565.79865027,538,2118
34245,565.877763697,538,119
34246,566.164125182,538,169
34247,566.303564227,538,915
34248,566.322408659,538,405
34249,566.804932846,538,748
34250,566.831326813,538,207
34367,565.324085856,539,130
34368,565.79865027,539,2363
34369,566.258338872,539,106
34370,566.299795379,539,777
34371,566.801162329,539,461
34372,566.827556209,539,145
34373,568.268839718,539,115
34374,568.321696391,539,109
34375,568.831511872,539,124
34376,569.284873069,539,141
34486,565.802417451,540,1504
34487,565.825020798,540,570
34488,566.303564227,540,827
34489,566.801162329,540,212
34490,567.310295504,540,121
34491,569.454930078,540,128
34635,565.644206663,541,178
34636,565.79865027,541,1311
34637,566.299795379,541,839
34638,566.439251129,541,173
34639,566.804932846,541,160
34640,567.310295504,541,155
34641,567.340473532,541,138
34781,565.79865027,542,763
34782,566.299795379,542,485
34783,566.778539493,542,108
34784,566.808703375,542,230
34785,568.344350003,542,106
34906,565.316554693,543,103
34907,565.79865027,543,888
34908,566.307333089,543,443
34909,566.812473917,543,161
34910,567.302751122,543,215
34911,569.806461705,543,142
35041,565.802417451,544,503
35042,566.303564227,544,451
35043,566.797391825,544,220
35044,567.310295504,544,135
35045,569.281094313,544,116
35046,569.296209413,544,151
35047,569.798900744,544,199
35179,565.80995185,545,357
35180,566.299795379,545,208
35181,566.812473917,545,226
35182,567.306523307,545,184
35183,568.272615113,545,126
35184,569.296209413,545,130
35185,569.798900744,545,125
35316,565.301492517,546,122
35317,565.79865027,546,322
35318,565.825020798,546,256
35319,566.299795379,546,266
35320,566.797391825,546,122
35321,567.32161217,546,158
35322,567.340473532,546,119
35323,567.804561757,546,175
